Yun Dae-Geun | 윤대근 | Pohang Steelers | Defender | 55
Kim Ye-Sung | 김예성 | Pohang Steelers | Defender | 3
Eo Jeong-Won | 어정원 | Pohang Steelers | Defender | 2
Kang Min-Jun | 강민준 | Pohang Steelers | Defender | 13
Shin Kwang-Hoon | 신광훈 | Pohang Steelers | Defender | 17
Lee Chang-Woo | 이창우 | Pohang Steelers | Midfielder | 14
K. Nishiya | 켄토 | Pohang Steelers | Midfielder | 31
Ki Sung-yeung | 기성용 | Pohang Steelers | Midfielder | 40
Kim Ho-Jin | 김호진 | Pohang Steelers | Midfielder | 36
Kim Beom-Jun | 김범준 | Pohang Steelers | Midfielder | 26
Kim Dong-Jin | 김동진 | Pohang Steelers | Midfielder | 16
Kim Seung-Ho | 김승호 | Pohang Steelers | Midfielder | 8
Hwang Seo-Woong | 황서웅 | Pohang Steelers | Midfielder | 70
Lee Soo-Ah | 이수아 | Pohang Steelers | Midfielder | 47
Kim In-Sung | 김인성 | Pohang Steelers | Midfielder | 7
Wanderson | 완델손 | Pohang Steelers | Midfielder | 77
Son Seung-Beom | 손승범 | Pohang Steelers | Midfielder | 28
Lee Heon-Jae | 이헌재 | Pohang Steelers | Midfielder | 71
Juninho Rocha | 주닝요 | Pohang Steelers | Midfielder | 11
Kim Yong-Hak | 김용학 | Pohang Steelers | Midfielder | 30
Hwang Jae-Hwan | 황재환 | Pohang Steelers | Midfielder | 12
Lee Ho-Jae | 이호재 | Pohang Steelers | Forward | 19
Jorge Luiz | 조르지 | Pohang Steelers | Forward | 25
An Jae-Jun | 안재준 | Pohang Steelers | Forward | 9
Cho Sang-Hyeok | 조상혁 | Pohang Steelers | Forward | 18
J. Tranziska | 트란지스카 | Pohang Steelers | Forward | 10
Jung Han-Min | 정한민 | Pohang Steelers | Midfielder | 37
Baek Seung-Won | 백승원 | Pohang Steelers | Forward | 34

Kim Dong-Heon | 김동헌 | Incheon United | Goalkeeper | 1
Lee Tae-Heui | 이태희 | Incheon United | Goalkeeper | 21
Lee Sang-hyeon | 이상현 | Incheon United | Goalkeeper | 31
Wang Min-Jun | 왕민준 | Incheon United | Goalkeeper | 74
Kim Gun-Hee | 김건희 | Incheon United | Defender | 4
Juan Ibiza | 이비자 | Incheon United | Defender | 2
Jeong Tae-Wook | 정태욱 | Incheon United | Defender | 25
Park Kyung-Sub | 박경섭 | Incheon United | Defender | 20
Kang Young-Hun | 강영훈 | Incheon United | Defender | 34
Go Jung-Min | 고정민 | Incheon United | Defender | 22
Lee Ju-Yong | 이주용 | Incheon United | Defender | 32
Yeo Seung-Won | 여승원 | Incheon United | Defender | 27
Kim Myung-Soon | 김명순 | Incheon United | Defender | 39
Choi Seung-Gu | 최승구 | Incheon United | Defender | 13
Lee Sang-Gi | 이상기 | Incheon United | Defender | 3
Mun Ji-Hwan | 문지환 | Incheon United | Midfielder | 6
Lee Jun-Seop | 이준섭 | Incheon United | Midfielder | 24
Iker Undabarrena | 이케르 | Incheon United | Midfielder | 8
Lee Myung-Joo | 이명주 | Incheon United | Midfielder | 5
Seo Jae-Min | 서재민 | Incheon United | Midfielder | 15
Jung Won-Jin | 정원진 | Incheon United | Midfielder | 88
