Shin Wooyeol |  | 두산 | Outfielder | 0
Uhm Jimin |  | 두산 | Outfielder | 0
Yang Hyeonjin |  | 두산 | Outfielder | 0
Ahn Chiho |  | 두산 | Pitcher | 0
Ahn Mingyeom |  | 두산 | Pitcher | 0
Choi Jongin |  | 두산 | Pitcher | 0
Choi Joohyung |  | 두산 | Pitcher | 0
Choi Wonjoon |  | 두산 | Pitcher | 0
Choi Wooin |  | 두산 | Pitcher | 0
Hwang Heecheon |  | 두산 | Pitcher | 0
Jang Woojin |  | 두산 | Pitcher | 0
Je Hwanyu |  | 두산 | Pitcher | 0
Jeong Seongheon |  | 두산 | Pitcher | 0
Jung Eunjae |  | 두산 | Pitcher | 0
Kim Hanjoong |  | 두산 | Pitcher | 0
Kim Hojun |  | 두산 | Pitcher | 0
Kim Jiyun |  | 두산 | Pitcher | 0
Kim Mingyu |  | 두산 | Pitcher | 0
Kim Myeongsin |  | 두산 | Pitcher | 0
Kim Yuseong |  | 두산 | Pitcher | 0
Lee Gyohoon |  | 두산 | Pitcher | 0
Lee Juho |  | 두산 | Pitcher | 0
Lee Juyeop |  | 두산 | Pitcher | 0
Lee Kiseok |  | 두산 | Pitcher | 0
Lim Jonghoon |  | 두산 | Pitcher | 0
Park Chiguk |  | 두산 | Pitcher | 0
Park Woong |  | 두산 | Pitcher | 0
Seo Junoh |  | 두산 | Pitcher | 0


Son Seongbin | 손성빈 | 롯데 | Catcher | 28
